公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
1101,台泥,43.99,218.95,142.22,128.72,8.92,4.16,87.74,9.21,39.63,1,0.36,4.36,6.88,32.56,10.5,2.03,18.88,116.16,1.57
1102,亞泥,40.99,359.36,93.17,80.98,5.8,3.96,92.17,8.11,45,1.15,0.27,3.35,4.65,25.28,10.27,1.74,15.09,133.25,2.49
1103,嘉泥,31.98,911.57,393.01,359.07,1170.83,7.2,50.69,1.24,294.35,0.86,0.07,3.9,5.57,13.96,46.64,1.39,17.41,29.79,0.86
1104,環泥,19.19,313.38,141.47,126.04,81.14,4.2,86.9,12.62,28.92,0.75,0.21,6.75,8.28,21.8,31.54,2.16,23.67,70.71,-0.51
1108,幸福,38.81,322.2,266.01,61.47,-2.87,4.98,73.29,0.89,410.11,2.08,0.47,-1.03,-2.23,-2.94,-3,-0.25,4.21,152,-0.95
1109,信大,20.77,209.53,308.5,230.47,30.62,5.81,62.82,5.16,70.73,1.48,0.62,8.89,7.49,24.94,13.2,1.32,60.96,118.13,5.05
1110,東泥,8.39,3758.71,459.41,198.35,25912.5,5.43,67.21,3.54,103.1,7.52,0.18,0.63,0.68,1.12,3.4,0.11,-34.86,-1.51,-3.04
1201,味全,76.24,122.95,103.45,32.35,3.08,6.7,54.47,0.91,401.09,1.54,0.53,3.97,11.99,21.34,5.03,1.31,5.16,7.22,4.27
1203,味王,38.98,258.66,222.8,148.76,79.16,12.04,30.31,3.07,118.89,2.21,0.69,8.51,13.7,43.29,12.04,1.86,41.27,181.06,4.81
1210,大成,46.69,184.22,131.49,75.7,12.05,7.75,47.09,8.24,44.29,6,1.93,7.33,12.66,45.35,3.49,3.28,28.29,109.79,15.82
1213,大飲,19.52,205.03,305.94,272.69,11.38,5.13,71.15,13.9,26.25,1.93,0.75,0.27,0.29,0.77,0.31,0.04,-33.85,175.2,-3.99
1215,卜蜂,49.9,134.19,100.5,68.4,42.46,9.46,38.58,13.86,26.33,3.67,1.58,12.05,21.78,68.48,7.44,5.35,33.38,77.89,7.42
1216,統一,53.87,168.98,124.75,99.25,4138.89,23.14,15.77,8.29,44.02,2.43,1.01,15.44,34.86,134.61,15,7.01,33.14,129.78,8.23
1217,愛之味,49.97,301.47,70.56,43.59,2.31,7.1,51.4,4.75,76.84,1.42,0.33,2.02,2.69,3.07,3.5,0.27,2.88,13.1,0.66
1218,泰山,48.92,315.5,152.37,92.78,7.4,7.12,51.26,9.74,37.47,4.2,1,4.71,8.7,9.74,4.13,0.93,3.98,84.98,0.97
1219,福壽,53.35,149.63,197.91,108.22,2.24,8.67,42.09,6.05,60.33,2.79,1.31,1.13,1.42,1.77,0.51,0.44,-15.92,23.87,-4.42
