公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
1442,名軒,68.75,31511.18,264.95,19.48,551.05,60.4,6.04,0.07,5214.28,56.59,0.12,3.37,9.5,22.64,28.51,1.96,-25.25,-42.86,-24.64
1443,立益,60.7,52.09,60.74,38.32,0,6.33,57.66,2.4,152.08,0.61,0.35,-2.43,-17.88,-17.53,-13.65,-1.51,0,0,0
1444,力麗,23.04,211.65,159.49,93.92,11.31,11.29,32.32,5.74,63.58,1.88,0.73,1.62,1.9,2.99,2.01,0.23,31.42,86.7,4.02
1445,大宇,16.2,192.91,746.34,348.54,NA,6.51,56.06,3.22,113.35,1.96,0.85,1.27,1.53,2.17,1.52,0.21,7.35,5.79,-1.54
1446,宏和,49.54,1185.39,1172.77,152.92,15.79,8.6,42.44,6.53,55.89,2.87,0.22,0.38,0.7,1.56,1.58,0.1,-174.43,-86.73,-14.54
1447,力鵬,38.38,224.36,136.94,80.26,7.16,5.66,64.48,6.54,55.81,4.46,1.27,2.29,3.24,4.74,1.55,0.42,27.09,79.09,7.63
1449,佳和,73.06,128.13,122,70,145,10.16,35.92,4.02,90.79,0.71,0.71,1.04,-0.5,2.13,-0.18,0.46,-1.96,-474.22,-0.01
1451,年興,26.68,339.98,356.38,190.54,45.73,5.49,66.48,3.39,107.66,3.68,0.93,5,6.7,22.3,5.25,1.75,65.03,102.84,3
1452,宏益,8.55,388.93,987.17,834.34,274.56,7.98,45.73,7.84,46.55,4.05,0.9,7.38,8.11,14.91,8.2,1.31,12.57,93.36,-2.61
1453,大將,26.12,319.1,310.66,74.46,-63.25,13.51,27.01,0.49,744.89,0.74,0.18,-3.79,-4.8,-5.06,-20.08,-0.54,-129.64,-45.59,-29.51
1455,集盛,40.1,134.66,142.17,65.61,2.71,11.38,32.07,5.42,67.34,2.63,1.39,0.75,0.76,1.4,0.32,0.09,69.03,63.32,13.95
1456,怡華,77.25,1577.67,140.1,19.02,0,3.55,102.81,0.61,598.36,5.06,0.23,-27.26,-129.93,-52.65,-123.2,-5.33,NA,NA,NA
