"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投資比率(%)"
"1101","台泥",46.95,198.55,133.06,119.28,6.07,4.01,91.02,8.15,44.78,0.84,0.32,2.85,4.36,23.47,7.39,1.56,31.97,109.73,3.19
"1102","亞泥",42.66,304.55,81.02,69.80,5.14,3.55,102.81,7.08,51.55,0.96,0.24,2.28,3.12,20.27,7.44,1.55,20.95,112.25,2.97
"1103","嘉泥",48.70,1106.78,699.93,609.52,186.35,6.34,57.57,1.75,208.57,1.04,0.10,1.31,1.28,2.51,7.55,0.34,19.88,59.60,0.24
"1104","環泥",19.88,313.36,123.51,103.82,101.84,4.26,85.68,13.93,26.20,0.91,0.26,7.09,8.70,23.42,26.78,2.22,34.43,59.18,1.09
"1108","幸福",38.32,279.55,285.67,81.91,15.46,4.91,74.33,1.16,314.65,2.33,0.64,6.14,9.78,15.23,9.22,1.16,55.80,221.19,4.35
"1109","信大",26.03,179.78,251.92,164.93,1.44,5.90,61.86,4.73,77.16,1.04,0.49,-0.41,0.27,0.29,-1.32,0.04,53.47,76.91,3.99
"1110","東泥",7.92,2472.26,505.38,317.41,26858.18,4.16,87.74,3.50,104.28,5.31,0.20,1.53,1.65,2.52,7.78,0.25,54.00,75.35,1.31
"1201","味全",76.78,121.67,100.72,89.96,-5.49,7.34,49.72,7.06,51.69,1.47,0.52,-5.16,-22.43,-37.50,-10.93,-3.78,-2.36,15.30,-1.93
"1203","味王",38.13,245.24,238.74,125.41,41.32,13.19,27.67,3.06,119.28,2.29,0.79,5.66,8.91,25.24,6.93,1.12,46.04,137.71,4.13
"1210","大成",51.91,190.32,123.09,73.88,4.41,8.48,43.04,8.56,42.64,6.12,1.92,1.64,2.48,13.15,0.62,0.87,18.70,116.70,11.96
"1213","大飲",19.52,233.36,348.00,312.09,1789.17,5.52,66.12,16.14,22.61,2.35,0.88,2.00,2.46,4.17,2.28,0.32,41.52,295.64,4.65
"1215","卜蜂",46.24,163.31,117.59,68.31,28.80,9.66,37.78,11.48,31.79,5.10,1.74,7.85,13.68,34.05,4.36,2.57,18.69,94.03,5.23
"1216","統一",60.97,137.29,92.06,61.53,996.94,21.90,16.66,7.98,45.73,2.28,1.04,5.89,14.10,47.96,5.19,2.48,33.82,107.86,11.23
"1217","愛之味",46.51,220.90,77.77,48.70,1.38,7.31,49.93,4.06,89.90,1.19,0.35,1.46,1.11,1.16,1.48,0.09,0.18,21.83,0.05
"1218","泰山",56.06,305.67,168.43,103.66,2.45,8.28,44.08,8.43,43.29,3.51,1.03,2.36,3.66,2.95,1.54,0.36,-3.84,12.50,-0.83
"1219","福壽",49.05,143.44,203.34,105.61,6.12,8.65,42.19,5.48,66.60,2.93,1.39,1.61,2.57,2.93,1.00,0.31,-21.41,0.85,-5.36
"1220","台榮",25.47,293.13,410.25,281.88,26.37,4.47,81.65,5.12,71.28,3.67,1.03,3.50,4.74,4.69,3.27,0.67,62.74,120.69,4.38
"1225","福懋油",35.09,425.50,284.39,146.34,37.56,8.43,43.29,9.21,39.63,8.44,1.60,12.48,19.37,30.25,7.22,2.55,18.14,99.48,1.83
"1227","佳格",34.22,372.30,238.94,144.83,147.77,5.83,62.60,4.67,78.15,6.83,1.32,14.33,21.50,42.87,10.79,3.47,41.49,110.34,8.89
"1229","聯華",17.32,1452.08,92.15,54.46,35.05,6.03,60.53,4.23,86.28,3.33,0.22,5.72,6.71,15.90,26.54,1.59,59.46,92.70,1.98
"1231","聯華食",56.58,165.30,167.88,90.02,1425.01,5.61,65.06,3.98,91.70,2.29,1.02,6.11,13.22,29.56,5.56,2.41,20.79,45.39,3.74
"1232","大統益",23.69,656.22,391.82,197.93,587.74,18.73,19.48,7.96,45.85,31.45,3.64,18.92,25.30,70.13,5.18,5.70,127.95,"NA",8.00
"1233","天仁",26.43,153.06,170.38,98.16,31326.06,8.74,41.76,3.13,116.61,2.26,1.08,10.69,14.50,27.03,9.88,2.31,54.20,86.83,1.50
"1234","黑松",21.22,358.87,384.12,259.95,82.71,12.51,29.17,2.38,153.36,1.09,0.29,2.88,3.57,17.95,9.75,1.54,-20.86,5.36,-5.67
"1235","興泰",47.93,745.30,209.83,203.53,3.25,0.53,688.67,1.44,253.47,0.45,0.04,2.48,3.48,7.82,44.30,0.80,0.00,78.28,0.00
"1236","宏亞",43.22,146.03,126.00,77.40,31.08,6.71,54.39,5.21,70.05,1.27,0.70,3.19,5.38,11.13,4.39,0.95,37.74,73.19,3.34
"1256","鮮活果汁-KY",46.65,213.41,150.95,111.73,34.01,18.86,19.35,10.49,34.79,5.82,1.58,14.14,24.54,117.77,8.67,7.75,31.00,1.13,6.13
"1301","台塑",32.13,420.86,249.83,214.21,18.95,15.96,22.86,8.58,42.54,2.35,0.45,7.49,10.79,55.13,16.12,4.85,68.70,98.69,6.07
"1303","南亞",34.22,316.24,299.90,237.23,23.50,5.96,61.24,6.12,59.64,2.13,0.57,7.34,11.23,55.03,12.04,4.50,94.91,128.75,6.37
"1304","台聚",46.00,190.83,208.21,156.02,1003.65,6.86,53.20,6.00,60.83,2.44,0.90,2.97,4.95,17.40,2.93,0.85,19.95,76.08,3.48
"1305","華夏",45.16,192.52,244.99,172.02,30.84,10.31,35.40,6.07,60.13,2.72,1.16,7.06,12.63,19.72,5.87,1.64,14.92,88.71,1.66
"1307","三芳",39.82,177.86,225.77,177.06,35.47,7.36,49.59,4.87,74.94,1.93,0.82,8.22,13.54,35.55,9.77,2.85,71.99,116.42,10.98
"1308","亞聚",13.84,248.82,217.75,133.72,31002.81,12.80,28.51,5.37,67.97,1.81,0.50,5.29,5.99,12.71,10.53,1.08,75.02,74.40,5.14
"1309","台達化",63.40,207.52,140.56,107.99,2.35,5.61,65.06,10.96,33.30,6.68,1.68,1.24,1.97,2.88,0.40,0.21,35.23,49.95,14.29
"1310","台苯",44.64,178.15,134.92,103.78,17.81,19.17,19.04,18.30,19.94,3.09,1.23,5.73,9.37,14.15,4.37,1.31,46.30,111.70,10.65
"1312","國喬",18.17,249.40,268.54,199.07,10068.68,8.68,42.05,9.72,37.55,2.36,0.84,7.02,8.98,21.42,8.25,1.62,159.21,158.13,11.55
"1313","聯成",51.31,217.22,180.50,140.09,2.18,15.30,23.85,8.72,41.85,3.61,1.08,0.00,-0.93,-2.76,-0.39,-0.15,28.10,73.74,7.11
"1314","中石化",29.70,432.91,286.40,236.01,1.75,12.91,28.27,11.48,31.79,1.57,0.34,0.31,0.16,0.61,0.32,0.04,9.28,23.75,0.73
"1315","達新",23.07,445.26,365.27,296.80,30.45,5.73,63.69,3.18,114.77,1.50,0.30,2.76,3.48,14.27,8.98,1.34,30.02,93.94,1.10
"1316","上曜",47.74,959.15,262.90,79.27,-5.57,4.30,84.88,0.42,869.04,3.16,0.25,-3.25,-6.91,-6.44,-14.78,-0.88,-34.24,-88.94,-16.59
"1319","東陽",47.26,147.07,114.42,77.53,15.05,4.56,80.04,6.40,57.03,1.27,0.63,5.23,9.33,35.36,7.71,2.87,54.99,87.12,11.84
"1321","大洋",52.90,213.95,95.81,48.70,3.19,11.39,32.04,5.66,64.48,1.08,0.44,0.51,0.75,1.70,0.81,0.17,5.62,9.95,0.71
"1323","永裕",47.68,199.39,330.07,253.24,19.60,5.01,72.85,5.13,71.15,2.01,0.84,8.25,15.25,44.09,9.47,2.55,121.79,157.82,9.23
"1324","地球",24.04,274.79,354.24,276.20,3111.42,6.33,57.66,5.34,68.35,3.43,0.97,4.42,5.94,9.94,4.54,0.77,11.83,134.37,0.40
"1325","恆大",7.84,227.26,1300.04,1108.46,2209.82,5.93,61.55,5.75,63.47,1.21,0.53,4.69,5.09,12.11,8.85,1.00,326.21,137.07,6.95
"1326","台化",35.07,289.79,256.13,202.01,15.44,10.11,36.10,6.64,54.96,2.28,0.64,6.42,9.63,61.40,9.63,4.72,81.80,120.55,7.41
"1337","再生-KY",9.05,170.01,394.25,349.08,37.13,3.57,102.24,11.38,32.07,0.84,0.43,3.50,3.83,5.59,7.83,1.50,24.96,67.65,2.00
"1338","廣華-KY",29.02,263.22,251.59,217.10,47.74,3.19,114.42,7.76,47.03,3.08,0.88,8.63,11.91,118.88,9.17,9.04,49.67,71.73,9.39
"1339","昭輝",40.88,148.31,164.79,127.60,4.93,5.69,64.14,6.10,59.83,0.82,0.51,8.46,13.66,59.19,15.96,4.60,42.39,81.65,4.53
"1340","勝悅-KY",11.63,4192.55,832.87,827.46,300.36,2.45,148.97,92.81,3.93,23.71,0.50,14.69,16.11,89.66,26.98,7.51,134.13,"NA",17.18
"1402","遠東新",49.80,227.90,119.83,90.50,9.04,8.53,42.79,7.19,50.76,1.47,0.42,3.38,9.32,36.80,8.49,1.61,35.89,69.96,8.51
"1409","新纖",74.74,199.39,101.99,96.15,2.40,5.39,67.71,5.32,68.60,1.61,0.26,1.12,2.42,6.65,2.37,0.46,5.35,128.24,6.82
"1410","南染",18.73,490.21,686.08,658.44,1097.65,5.45,66.97,14.03,26.01,2.13,0.42,8.49,10.47,21.32,20.42,1.64,179.82,153.65,4.34
"1413","宏洲",63.48,131.84,115.26,41.02,1.18,13.19,27.67,4.17,87.52,2.06,1.10,0.74,0.48,1.43,0.14,0.03,-38.47,4655.04,-4.54
"1414","東和",35.64,211.03,92.88,35.99,1.25,9.83,37.13,2.06,177.18,0.62,0.23,0.33,0.23,0.12,0.66,0.03,0.00,24.24,-1.67
"1416","廣豐",57.66,209.14,111.82,8.68,-0.03,23.52,15.51,0.29,1258.62,0.46,0.12,-0.22,-0.68,-0.52,-2.59,-0.13,-7.99,25.30,-5.55
"1417","嘉裕",26.83,413.14,250.54,128.36,-3290.13,10.97,33.27,1.42,257.04,3.23,0.58,-6.10,-8.48,-13.31,-10.83,-1.01,2.58,-55.23,0.67
"1418","東華",71.92,65.91,45.84,11.38,-8.07,38.24,9.54,3.72,98.11,1.11,0.80,-8.53,-29.72,-13.42,-12.38,-1.48,-1.21,-64.80,-0.66
"1419","新紡",36.11,1612.89,61.00,50.02,4.52,7.30,50.00,2.19,166.66,2.17,0.10,1.21,1.53,3.77,10.01,0.39,-1.24,10.47,-1.54
"1423","利華",8.89,765.55,6941.60,3217.98,-939.55,21.59,16.90,0.86,424.41,1.72,0.22,-1.26,-1.38,-1.84,-5.61,-0.21,-206.86,-34.86,-1.24
"1432","大魯閣",54.82,101.05,84.36,52.64,-5.32,14.64,24.93,0.45,811.11,0.15,0.08,-2.47,-6.23,-7.76,-35.75,-0.74,-14.37,-15.31,-5.51
"1434","福懋",29.96,401.15,216.11,132.99,19.89,8.02,45.51,4.66,78.32,2.44,0.55,4.36,5.95,22.33,7.52,1.68,56.58,147.51,3.10
"1435","中福",15.43,194.61,10126.32,8559.10,-4572.50,40.25,9.06,0.05,7300.00,0.05,0.02,-0.32,-0.38,-0.25,-12.07,-0.03,479.93,411.35,1.40
"1436","華友聯",65.78,10044.37,152.70,7.97,20.07,91.90,3.97,0.03,12166.66,9.89,0.04,-0.03,-1.65,-3.33,-14.17,-0.55,-18.70,-57.79,-33.50
"1437","勤益控",49.48,6134.29,333.16,317.66,1.72,7.88,46.31,8.04,45.39,3.26,0.08,1.28,1.12,2.87,6.66,0.26,63.10,704.13,16.09
"1438","裕豐",11.39,1763.03,32111.55,20742.30,"NA","NA","NA",2.80,130.35,134.55,3.84,1.79,2.02,1.25,46.54,0.11,4380.47,"NA",12.84
"1439","中和",7.68,2541.56,8931.42,8723.13,4.71,33.78,10.80,17.03,21.43,4.05,0.16,0.03,0.03,0.05,0.19,0.01,-19.76,2.62,1.87
"1440","南紡",35.70,187.60,111.17,47.12,16.12,14.42,25.31,4.50,81.11,1.22,0.53,3.06,4.43,8.79,5.35,0.75,26.34,33.06,4.21
"1441","大東",73.07,152.40,102.77,39.99,-1.53,7.97,45.79,3.61,101.10,1.34,0.64,-1.92,-10.00,-9.74,-4.56,-0.93,-21.56,-48.57,-4.21
"1442","名軒",65.84,41020.60,377.89,18.55,295.49,117.21,3.11,0.10,3650.00,78.76,0.15,4.03,12.27,25.41,26.73,2.44,14.98,-29.32,0.96
"1443","立益",79.26,61.11,66.04,36.54,0.00,5.89,61.96,1.84,198.36,0.47,0.27,-2.29,-18.93,-14.76,-15.62,-0.89,0.00,0.00,0.00
"1444","力麗",33.52,193.26,120.88,89.43,14.18,11.45,31.87,5.61,65.06,1.63,0.60,2.56,3.35,4.84,3.92,0.43,24.15,122.49,3.88
"1445","大宇",16.41,208.18,734.42,371.12,"NA",6.98,52.29,2.82,129.43,1.98,0.79,3.93,4.70,7.42,4.87,0.65,104.39,33.19,4.23
"1446","宏和",52.80,714.12,173.80,19.21,0.20,8.04,45.39,6.35,57.48,3.15,0.23,-0.96,-2.07,-0.14,-4.35,-0.28,-1.14,-83.45,-3.25
"1447","力鵬",50.46,207.79,123.03,88.54,1.74,5.96,61.24,5.14,71.01,2.98,0.85,0.52,0.43,0.55,0.27,0.02,-2.13,47.65,-0.89
"1449","佳和",79.17,127.44,118.00,73.00,-143.00,9.82,37.16,3.68,99.18,1.04,0.59,-3.64,-21.76,-17.59,-8.73,-2.25,-21.79,35.80,-12.90
"1451","年興",26.14,398.96,406.95,218.99,42.61,5.27,69.25,3.38,107.98,3.99,0.93,5.00,6.64,20.56,5.26,1.69,72.97,107.93,3.27
"1452","宏益",9.33,377.72,803.00,670.06,24452.59,7.41,49.25,6.52,55.98,3.19,0.78,14.54,15.98,31.34,18.71,2.80,212.35,115.24,8.00
"1453","大將",11.57,335.99,943.09,214.30,88.98,25.11,14.53,0.36,1013.88,1.01,0.28,4.49,5.52,6.18,17.06,0.62,250.12,-15.49,14.74
"1454","台富",23.16,206.21,296.03,142.15,8784.65,8.91,40.96,2.52,144.84,2.52,0.95,4.89,6.33,8.99,5.07,0.79,0.28,0.67,0.06
"1455","集盛",34.82,142.64,180.11,95.14,4.58,9.22,39.58,5.91,61.75,2.29,1.25,1.38,1.77,2.32,0.88,0.22,39.68,95.05,4.81
"1456","怡華",75.90,1030.85,79.57,8.44,296.84,2.36,154.66,0.24,1520.83,3.70,0.13,3.74,11.20,12.39,20.42,1.24,"NA","NA","NA"
"1457","宜進",46.36,156.68,111.17,65.83,7.65,5.68,64.26,6.15,59.34,0.92,0.44,5.88,9.67,16.63,11.93,1.71,-4.58,9.86,-2.65
"1459","聯發",49.12,158.51,139.30,123.01,734.78,10.72,34.04,10.62,34.36,1.24,0.53,3.60,6.01,7.74,5.89,0.72,19.86,17.97,2.80
"1460","宏遠",50.13,172.81,154.25,56.91,14.99,8.23,44.34,1.85,197.29,2.43,0.88,5.20,9.35,10.99,5.51,1.03,26.66,94.94,6.68
"1463","強盛",42.48,318.45,177.43,88.37,63.42,6.03,60.53,0.41,890.24,0.76,0.14,2.44,4.04,4.62,16.17,0.51,-7.33,-6.42,-3.61
"1464","得力",53.25,157.13,121.01,69.52,13.42,5.65,64.60,2.91,125.42,2.66,0.83,5.00,9.89,20.17,5.58,1.40,3.65,39.74,-0.84
"1465","偉全",14.24,290.59,592.87,405.67,7457.47,7.98,45.73,2.49,146.58,3.55,0.82,4.75,7.36,14.54,5.85,1.00,0.00,86.43,-2.94
"1466","聚隆",48.34,98.31,190.36,79.25,1.38,7.57,48.21,4.26,85.68,2.16,1.13,0.61,0.43,1.00,0.20,0.07,15.39,32.60,2.21
"1467","南緯",60.47,202.19,156.76,95.76,0.80,6.33,57.66,3.81,95.80,3.24,0.99,0.02,-1.89,-0.66,-0.81,0.01,0.00,16.07,-1.85
"1468","昶和",51.78,173.18,173.32,58.22,-1.31,9.65,37.82,0.59,618.64,0.58,0.24,-1.56,-5.18,-3.75,-10.32,-0.33,7.92,16.27,1.71
"1470","大統新創",10.87,263.26,675.16,497.39,0.00,4.78,76.35,3.24,112.65,2.03,0.69,5.56,6.40,8.75,8.02,0.71,85.24,92.25,1.78
"1471","首利",17.35,244.76,273.18,241.68,-287.11,3.33,109.60,9.49,38.46,1.67,0.56,-11.45,-14.51,-18.21,-20.60,-1.78,6.85,69.90,0.75
"1472","三洋紡",67.12,71.10,78.93,62.04,"NA",7.24,50.41,4.36,83.71,1.41,0.74,-2.56,-11.38,-3.54,-5.03,-0.50,-3.96,2.73,-1.75
"1473","台南",44.36,363.28,161.78,112.01,-1.59,6.07,60.13,3.82,95.54,8.06,1.19,1.60,2.32,-7.31,0.98,0.65,16.24,14.92,5.17
"1474","弘裕",47.61,188.73,132.61,74.10,8.54,5.15,70.87,3.66,99.72,3.33,1.01,2.98,5.03,8.77,2.60,0.70,12.02,65.52,5.91
"1475","本盟",51.27,647.05,196.35,146.21,-1.93,5.44,67.09,4.02,90.79,1.05,0.45,-5.51,-18.73,-7.29,-17.12,1.78,-19.89,-0.34,-3.34
"1476","儒鴻",33.41,184.92,194.24,127.76,14219.98,8.75,41.71,5.51,66.24,3.88,1.57,25.79,39.28,196.22,16.35,15.99,84.88,99.29,16.40
"1477","聚陽",32.78,202.10,192.26,115.77,110.95,27.52,13.26,6.05,60.33,5.20,1.83,17.20,25.20,135.43,9.32,10.90,83.39,77.72,18.31
"1503","士電",36.73,187.46,147.05,90.11,39.67,3.32,109.93,3.24,112.65,1.43,0.58,3.88,5.98,31.21,6.51,2.39,14.12,95.85,1.15
