"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投資比率(%)"
"1101","台泥",42.64,306.92,171.12,155.85,14.16,3.80,96.05,10.21,35.74,1.34,0.40,7.95,12.94,57.54,18.17,4.37,34.34,80.90,3.68
"1102","亞泥",43.03,411.77,127.95,112.34,13.17,3.99,91.47,7.52,48.53,1.56,0.31,6.17,9.77,60.60,17.99,3.54,14.75,127.58,2.24
"1103","嘉泥",34.60,830.28,348.97,321.92,593.43,8.17,44.67,1.43,255.24,0.66,0.07,2.78,3.83,5.52,36.76,1.09,0.00,29.24,0.00
"1104","環泥",21.02,316.34,118.13,108.90,52.87,4.24,86.08,14.10,25.88,0.80,0.21,4.88,6.01,17.25,21.99,1.62,17.53,67.95,-0.52
"1108","幸福",42.04,296.07,284.47,66.03,-4.91,5.57,65.52,0.89,410.11,1.77,0.46,-2.40,-4.66,-4.74,-6.05,-0.44,2.99,100.18,0.29
"1109","信大",24.40,239.50,228.51,186.48,65.47,3.50,104.28,5.82,62.71,1.96,0.71,13.60,17.30,51.44,18.70,2.38,50.25,174.59,8.18
"1110","東泥",7.95,3933.83,491.82,181.77,6776.76,4.66,78.32,3.16,115.50,7.54,0.18,0.71,0.77,1.25,3.91,0.12,3.86,-10.82,-0.62
"1201","味全",70.81,95.59,76.59,63.25,3.71,6.77,53.91,1.83,199.45,1.84,0.72,4.30,12.41,19.62,4.47,1.94,4.73,5.24,2.94
"1203","味王",34.85,253.50,253.21,160.67,94.11,12.31,29.65,2.83,128.97,2.12,0.66,7.83,12.26,42.50,11.58,1.82,45.24,144.50,1.98
"1210","大成",47.74,177.82,125.42,68.00,9.83,11.80,30.93,7.18,50.83,5.19,1.74,6.41,10.98,38.47,3.33,2.75,11.37,93.37,2.38
"1213","大飲",55.73,277.01,89.81,79.23,-13.57,5.64,64.71,14.48,25.20,1.66,0.53,-7.68,-13.76,-12.06,-15.08,-1.58,-8.17,72.45,-2.06
"1215","卜蜂",54.04,123.48,91.43,61.70,20.41,9.04,40.37,14.50,25.17,3.01,1.43,7.05,14.00,48.80,4.69,3.55,15.59,59.27,1.44
"1216","統一",58.17,167.71,117.06,90.07,2373.85,24.36,14.98,8.27,44.13,2.72,1.05,6.83,14.90,62.14,6.25,3.07,29.40,134.07,2.87
"1217","愛之味",50.16,272.82,59.51,37.33,1.40,7.47,48.86,4.59,79.52,1.39,0.34,1.42,1.14,1.17,1.45,0.10,12.73,23.53,3.67
"1218","泰山",27.30,403.71,164.22,122.40,14.09,7.55,48.34,10.21,35.74,4.56,0.97,6.07,9.09,9.83,5.88,0.98,20.83,7.87,2.56
"1219","福壽",55.18,140.46,170.13,106.44,-0.69,9.29,39.28,6.70,54.47,2.88,1.38,-0.66,-2.49,-2.61,-0.82,-0.03,14.10,5.66,2.42
"1220","台榮",22.09,296.40,419.48,306.51,24.42,4.52,80.75,4.41,82.76,3.14,0.90,3.83,4.69,7.59,4.10,0.53,24.59,82.25,0.82
"1225","福懋油",43.96,224.18,225.08,153.13,15.42,7.59,48.08,8.20,44.51,5.40,1.67,4.78,8.30,17.34,2.67,1.17,42.72,108.43,8.06
"1227","佳格",33.16,300.95,227.76,150.05,46.53,4.86,75.10,4.36,83.71,4.90,1.17,12.99,19.11,40.17,10.86,3.25,35.14,101.02,3.93
"1229","聯華",18.98,1428.39,57.13,35.86,74.48,6.33,57.66,4.21,86.69,2.67,0.17,8.33,9.91,23.48,48.52,2.35,48.40,83.88,1.78
"1231","聯華食",50.91,178.39,160.03,98.26,2286.31,5.72,63.81,5.24,69.65,3.07,1.20,8.40,16.50,40.75,6.67,3.26,23.07,91.07,4.62
"1232","大統益",27.94,637.96,327.27,193.77,184.92,17.24,21.17,7.75,47.09,27.97,3.10,17.05,23.85,72.26,5.47,5.67,95.17,86.45,7.65
"1233","天仁",25.93,174.25,184.43,117.00,19629.21,8.72,41.85,3.16,115.50,2.34,1.03,8.28,11.24,24.02,7.97,1.93,44.43,87.43,-0.05
"1234","黑松",23.25,308.05,255.14,71.47,43.09,13.13,27.79,1.34,272.38,1.36,0.39,3.11,3.96,19.98,7.82,1.73,15.64,-8.48,-2.45
"1235","興泰",25.58,2831.07,290.93,289.98,4.83,0.35,1042.85,1.95,187.17,0.32,0.01,2.05,2.29,12.00,183.81,1.25,2.46,632.52,0.77
"1236","宏亞",34.32,139.79,131.87,79.13,4.35,5.07,71.99,4.79,76.20,1.19,0.69,0.61,0.74,1.65,0.67,0.12,34.73,76.82,4.58
"1256","鮮活果汁-KY",31.77,184.63,190.38,143.64,67.21,18.27,19.97,8.42,43.34,3.95,1.31,18.21,26.73,203.16,13.71,14.35,78.43,111.80,16.20
"1301","台塑",29.10,546.16,221.87,192.66,39.35,14.36,25.41,10.06,36.28,3.16,0.47,10.38,14.15,89.69,21.51,7.78,60.81,120.31,2.46
"1303","南亞",32.15,346.65,257.09,192.60,35.39,5.93,61.55,6.33,57.66,2.43,0.60,9.71,13.97,77.58,15.81,6.65,66.71,108.20,1.76
"1304","台聚",47.16,228.07,205.43,154.61,1020.28,7.23,50.48,8.13,44.89,2.56,0.91,3.12,5.26,21.22,3.08,0.50,15.15,56.13,2.26
"1305","華夏",33.37,184.96,299.57,215.29,164.74,8.72,41.85,6.99,52.21,2.59,1.17,10.54,15.94,32.79,8.93,2.52,86.71,98.42,5.39
"1307","三芳",43.42,172.05,209.75,152.69,11.86,6.56,55.64,3.94,92.63,1.52,0.66,2.29,3.65,9.64,3.19,0.76,3.05,99.04,-3.05
"1308","亞聚",38.42,370.97,176.93,142.04,889.36,8.59,42.49,7.90,46.20,1.79,0.42,2.09,2.95,5.72,4.50,0.52,-4.16,50.18,-1.25
"1309","台達化",54.26,227.95,162.56,125.07,6.98,7.41,49.25,17.03,21.43,9.05,2.47,2.88,5.27,10.11,0.96,0.63,-15.18,187.87,-4.92
"1310","台苯",26.57,196.34,172.55,135.71,84.59,13.50,27.03,19.35,18.86,3.70,1.44,11.21,15.52,29.32,7.72,2.00,117.41,118.99,12.95
"1312","國喬",14.20,363.28,377.19,306.21,221187.08,7.87,46.37,10.33,35.33,3.25,0.86,10.90,12.83,43.78,12.73,3.26,159.06,250.25,9.27
"1313","聯成",56.79,206.41,196.24,94.60,316.42,16.19,22.54,7.23,50.48,3.76,1.34,2.42,3.67,7.33,1.23,0.59,6.02,38.28,-1.16
"1314","中石化",25.10,421.59,288.76,243.52,5981.77,12.45,29.31,14.02,26.03,2.11,0.45,5.07,6.60,17.32,11.12,1.59,83.83,78.89,8.17
"1315","達新",21.78,507.37,304.34,286.42,28.42,5.61,65.06,3.19,114.42,1.51,0.26,2.44,3.05,12.28,9.04,1.20,4.45,82.54,0.00
"1316","上曜",48.77,1184.47,240.32,88.27,21.43,6.96,52.44,0.42,869.04,4.94,0.29,4.65,8.17,14.20,15.22,1.39,-35.88,-142.42,-11.03
"1319","東陽",41.29,145.66,120.74,76.58,14.69,4.96,73.58,6.15,59.34,1.14,0.61,5.53,8.94,40.85,8.40,3.26,62.94,97.46,8.07
"1321","大洋",54.09,275.99,166.54,108.30,-0.76,6.87,53.12,7.42,49.19,1.25,0.41,-0.43,-1.42,-2.19,-1.50,-0.33,19.83,8.95,1.69
"1323","永裕",46.18,265.66,380.57,269.88,45.27,4.52,80.75,4.94,73.88,2.77,0.89,9.09,16.53,55.38,9.63,3.32,75.14,97.05,4.99
"1324","地球",23.30,258.37,307.65,223.63,99.50,5.23,69.78,5.05,72.27,2.97,0.84,0.09,0.12,1.10,0.11,0.02,-3.36,88.97,-1.77
"1325","恆大",6.47,228.73,1746.96,1483.29,3334.41,6.27,58.21,5.59,65.29,1.14,0.48,3.15,3.37,8.60,6.55,0.70,148.66,142.93,1.69
"1326","台化",26.74,370.20,240.04,195.82,27.68,9.44,38.66,8.72,41.85,3.15,0.69,9.84,13.02,108.71,13.63,8.36,57.03,136.26,3.70
"1337","再生-KY",6.79,216.09,713.27,657.44,-200.83,2.29,159.38,8.20,44.51,0.33,0.15,-19.06,-21.22,-23.89,-128.92,-7.02,66.06,147.12,3.07
"1338","廣華-KY",31.93,226.42,218.96,181.43,15.32,3.74,97.59,6.71,54.39,2.53,0.81,5.34,7.26,80.95,6.13,6.51,40.94,102.78,7.40
"1339","昭輝",45.58,145.14,144.46,121.55,9.62,3.69,98.91,6.06,60.23,0.91,0.44,4.92,8.81,50.47,9.97,4.15,44.35,101.87,9.30
"1340","勝悅-KY",3.51,968.89,2239.36,2220.66,"NA",2.70,135.18,72.57,5.02,3.06,0.31,1.95,2.05,12.43,6.50,0.97,299.27,"NA",10.09
"1341","富林-KY",51.20,170.04,151.19,81.72,11.71,6.88,53.05,4.65,78.49,5.03,1.55,8.86,18.34,41.64,5.20,3.68,16.32,88.68,7.10
"1402","遠東新",52.66,226.37,100.24,69.86,8.83,8.31,43.92,6.08,60.03,1.39,0.40,3.90,6.05,39.33,8.04,2.41,14.59,75.50,1.97
"1409","新纖",74.31,231.21,89.98,84.10,5.54,4.96,73.58,6.35,57.48,1.93,0.27,2.43,7.91,22.46,7.35,1.52,4.89,198.90,5.58
"1410","南染",17.55,614.93,836.33,802.94,1289.38,5.69,64.14,12.29,29.69,2.08,0.33,7.30,8.85,18.97,22.01,1.44,170.27,123.75,2.16
"1413","宏洲",51.08,135.72,111.74,45.75,21.25,14.30,25.52,7.06,51.69,3.21,1.55,10.70,23.89,15.60,6.64,1.83,13.50,41.25,1.90
"1414","東和",31.68,228.08,130.48,56.50,6.10,11.91,30.64,1.69,215.97,0.59,0.22,0.97,1.24,1.54,3.95,0.17,8.64,21.31,-0.19
"1416","廣豐",44.48,153.69,251.96,78.23,4.55,9.29,39.28,0.10,3650.00,0.06,0.03,3.74,5.90,12.99,92.27,1.35,-40.80,41.97,-6.19
"1417","嘉裕",19.27,345.08,278.99,175.68,-5268.69,8.50,42.94,0.87,419.54,1.53,0.34,-5.28,-6.77,-10.19,-15.57,-0.61,0.00,0.00,0.00
"1418","東華",68.17,272.17,586.98,393.77,-5.70,20732.03,0.01,3.94,92.63,0.68,0.24,-8.98,-46.50,-38.31,-33.37,-4.01,-252.69,-254.27,-7.69
"1419","新紡",31.28,1647.06,72.34,55.86,13.18,7.93,46.02,2.03,179.80,2.99,0.12,2.29,3.16,9.31,17.37,0.94,5.57,3.46,-9.45
"1423","利華",8.78,728.33,4043.80,2082.49,3439.03,18.38,19.85,1.24,294.35,2.12,0.27,3.75,4.10,7.94,13.48,0.64,97.10,137.61,1.02
"1432","大魯閣",27.11,180.57,150.56,73.83,-11.25,26.13,13.96,0.89,410.11,1.18,0.36,-7.20,-11.42,-12.88,-21.32,-1.10,30.66,1.31,7.95
