"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投資比率(%)"
"1101","台泥",45.66,194.10,124.70,110.88,12.42,5.15,70.87,9.85,37.05,1.09,0.42,5.92,10.24,50.39,13.02,2.72,31.21,103.54,6.27
"1102","亞泥",50.31,246.85,105.46,92.77,7.27,4.15,87.95,7.95,45.91,1.19,0.32,4.79,8.04,31.19,12.04,2.21,23.86,83.19,5.18
"1103","嘉泥",35.58,832.12,412.74,367.86,881.41,6.30,57.93,2.56,142.57,1.15,0.13,4.57,6.80,17.23,30.22,1.97,0.00,45.45,0.00
"1104","環泥",18.08,248.67,154.73,133.99,169.33,4.21,86.69,14.26,25.59,0.90,0.30,6.68,8.16,19.02,21.21,1.84,23.35,79.11,-0.27
"1108","幸福",48.70,260.62,250.11,78.18,4.05,4.55,80.21,1.17,311.96,2.00,0.57,2.54,3.78,5.23,3.34,0.44,27.79,192.58,3.46
"1109","信大",27.20,185.09,238.48,172.35,10.78,6.15,59.34,4.74,77.00,1.06,0.47,3.66,4.61,8.81,7.09,0.65,9.48,59.33,-0.34
"1110","東泥",8.25,2585.45,466.32,283.78,6684.12,4.95,73.73,4.18,87.32,6.01,0.21,1.58,1.72,1.96,7.25,0.26,53.58,120.31,1.71
"1201","味全",69.67,153.29,126.71,39.19,5.59,8.05,45.34,1.40,260.71,2.25,0.79,2.46,6.37,21.86,2.41,1.72,5.17,22.36,2.00
"1203","味王",37.34,218.02,218.22,88.39,18.66,11.98,30.46,2.91,125.42,1.96,0.77,4.98,7.65,22.11,6.06,1.11,66.71,120.59,8.64
"1210","大成",51.15,198.67,141.61,79.33,12.78,16.10,22.67,9.55,38.21,8.01,2.47,6.61,12.64,45.78,2.49,3.42,30.00,157.62,17.90
"1213","大飲",19.35,217.83,298.64,262.20,175.22,22.77,16.02,68.45,5.33,8.82,3.42,2.16,2.56,4.06,2.38,0.32,18.03,329.21,1.96
"1215","卜蜂",46.68,215.05,124.39,80.62,13.89,9.49,38.46,13.47,27.09,6.83,1.89,5.10,9.39,24.33,2.49,1.95,42.39,120.16,13.67
"1216","統一",62.71,162.40,99.65,62.55,1248.47,21.04,17.34,8.18,44.62,3.08,1.19,5.94,15.75,49.05,4.90,2.48,23.28,108.03,12.11
"1217","愛之味",55.97,217.57,142.69,106.44,0.15,6.73,54.23,4.61,79.17,1.02,0.33,-0.05,-2.76,-2.75,-3.15,-0.28,9.85,40.20,1.91
"1218","泰山",57.59,231.83,159.36,102.08,0.56,7.65,47.71,6.95,52.51,3.49,1.17,-0.78,-3.56,-2.99,-1.31,-0.35,44.49,17.40,9.91
"1219","福壽",29.53,232.14,627.61,365.73,3.25,8.97,40.69,6.68,54.64,5.81,1.83,0.66,0.75,0.80,0.27,0.09,163.11,58.92,8.95
"1220","台榮",17.49,249.32,372.06,252.30,1485.41,4.76,76.68,5.10,71.56,3.88,1.14,1.43,1.79,2.73,1.14,0.32,46.07,75.45,4.44
"1225","福懋油",56.83,155.47,135.28,82.78,2.64,8.41,43.40,10.95,33.33,5.48,2.18,1.87,2.79,4.86,0.51,0.32,37.01,136.20,13.51
"1227","佳格",31.80,360.76,244.00,145.61,12573.11,5.70,64.03,4.64,78.66,7.73,1.37,12.62,17.90,34.00,9.14,2.83,32.87,118.87,3.08
"1229","聯華",19.27,1237.53,86.87,57.75,27.76,6.21,58.77,4.81,75.88,2.77,0.20,5.38,6.49,16.12,24.65,1.57,34.31,76.93,4.74
"1231","聯華食",53.52,163.49,173.88,94.10,78.89,5.49,66.48,3.73,97.85,2.53,1.05,6.69,13.96,32.58,6.30,2.59,22.15,51.75,3.11
"1232","大統益",24.34,554.56,393.28,271.31,223.36,21.39,17.06,11.31,32.27,30.86,4.64,16.44,23.29,53.27,3.53,4.42,207.72,"NA",21.60
"1233","天仁",27.59,154.49,180.12,116.01,566.32,7.97,45.79,3.15,115.87,2.18,1.03,11.49,15.62,30.65,11.11,2.55,69.56,95.42,3.68
"1234","黑松",20.08,521.76,449.21,340.12,75.55,13.49,27.05,2.87,127.17,1.62,0.28,1.39,1.64,24.27,4.77,0.64,-0.34,26.71,-8.09
"1235","興泰",48.80,376.54,152.54,147.20,-2.22,0.86,424.41,5.03,72.56,1.01,0.14,-2.07,-4.97,-7.72,-18.45,-0.84,1.35,79.10,0.85
"1236","宏亞",46.35,105.60,124.57,84.00,1992.99,6.96,52.44,6.19,58.96,1.58,0.93,4.94,8.75,14.44,5.07,1.26,65.71,558.41,11.31
"1256","鮮活果汁-KY",38.39,236.74,188.50,159.13,157.92,22.38,16.30,14.80,24.66,6.80,1.95,24.65,40.50,180.85,12.53,12.27,69.92,1.26,32.40
"1301","台塑",35.79,408.25,239.40,194.86,16.26,16.34,22.33,9.34,39.07,2.64,0.53,5.70,8.50,36.39,9.62,3.25,27.26,119.96,1.88
"1303","南亞",43.69,282.49,244.09,190.89,13.73,7.27,50.20,6.30,57.93,2.11,0.63,5.65,9.64,39.03,8.13,3.19,27.03,135.05,3.42
"1304","台聚",46.60,236.93,211.37,159.36,1137.92,7.93,46.02,6.98,52.29,3.44,1.03,3.26,5.44,18.42,2.88,0.79,12.55,122.15,1.52
"1305","華夏",45.07,181.96,269.14,180.24,36.90,10.29,35.47,8.09,45.11,2.73,1.23,7.40,13.60,22.28,5.74,1.67,45.62,102.89,4.21
"1307","三芳",44.04,179.46,237.21,160.18,29.64,6.93,52.66,4.11,88.80,2.02,0.87,6.87,11.82,28.40,7.62,2.19,48.77,92.80,5.92
"1308","亞聚",9.46,1054.02,745.64,633.12,2547.04,14.44,25.27,6.52,55.98,6.66,0.57,5.21,5.76,12.90,9.25,1.14,68.86,142.74,-0.40
"1309","台達化",67.00,224.96,132.46,87.40,1.26,6.21,58.77,9.19,39.71,8.97,1.93,0.58,0.43,4.54,0.08,0.05,-7.52,6.91,-4.82
"1310","台苯",41.07,202.32,122.19,79.93,13.29,15.40,23.70,15.47,23.59,6.18,1.99,9.90,17.55,18.48,4.68,2.16,57.41,178.93,20.74
"1312","國喬",26.88,230.34,193.28,136.00,6916.80,9.10,40.10,9.95,36.68,2.84,1.08,8.98,12.58,28.15,8.22,2.15,120.30,152.71,11.79
"1313","聯成",57.80,227.20,143.60,110.00,271.60,13.74,26.56,6.85,53.28,4.70,1.20,2.10,3.20,5.70,1.10,0.52,17.30,51.10,7.40
"1314","中石化",30.04,206.28,219.79,173.48,-96.19,13.51,27.01,12.29,29.69,1.85,0.78,-3.19,-4.42,-5.97,-4.13,-0.62,-2.00,95.83,-0.22
"1315","達新",21.28,459.32,487.82,399.80,23.76,6.47,56.41,3.56,102.52,1.77,0.37,1.90,2.31,8.26,5.03,0.80,24.01,79.23,0.00
"1316","上曜",48.18,308.35,198.58,107.94,-6.85,4.46,81.83,1.44,253.47,1.98,0.50,-7.39,-15.99,-15.08,-16.40,-2.40,0.00,0.00,0.00
"1319","東陽",42.88,154.94,127.37,82.90,17.30,4.94,73.88,6.17,59.15,1.25,0.65,4.95,8.17,28.72,7.13,2.28,43.63,89.33,8.13
