"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投資比率(%)"
"3019","亞光",25.87,344.92,299.00,245.50,5000.27,4.22,86.49,4.85,75.25,3.47,0.85,4.53,6.01,40.67,5.23,1.20,64.77,222.82,12.43
"3021","鴻名",41.00,386.00,1.99,1.55,18.41,3.44,106.10,4.16,87.74,6.08,0.97,5.68,9.07,14.29,6.00,1.05,36.00,"NA",42.00
"3022","威強電",32.28,676.43,240.67,200.51,57.99,6.31,57.84,4.55,80.21,6.06,0.65,11.77,17.75,53.08,17.89,4.16,23.16,94.83,0.81
"3023","信邦",47.85,432.88,174.54,130.90,57.74,4.14,88.16,4.38,83.33,9.08,1.16,10.68,20.35,70.85,8.99,5.15,24.12,148.43,7.49
"3024","憶聲",43.37,631.90,128.24,91.89,21.77,4.39,83.14,3.88,94.07,4.76,0.68,15.70,30.54,27.44,22.31,2.77,-43.79,-65.50,0.00
"3025","星通",18.03,374.79,633.77,469.37,52.58,4.84,75.41,1.39,262.58,2.21,0.54,2.95,3.54,4.35,5.34,0.40,108.73,68.10,12.62
"3026","禾伸堂",28.33,371.51,263.01,208.38,2918.00,4.09,89.24,6.41,56.94,5.23,1.07,2.86,3.79,20.29,2.57,2.26,17.82,113.59,0.38
"3027","盛達",38.66,304.42,197.26,163.41,452.49,8.93,40.87,4.11,88.80,2.86,0.59,1.30,1.48,4.45,1.52,0.23,33.93,76.79,14.40
"3028","增你強",62.57,998.65,152.34,97.43,607.66,3.95,92.40,4.85,75.25,45.07,1.73,2.70,5.95,15.67,1.31,1.37,10.81,53.40,10.32
"3029","零壹",41.61,663.92,216.56,184.13,223.07,3.84,95.05,12.42,29.38,19.40,1.77,6.77,11.49,21.29,3.80,1.85,14.04,36.54,3.63
"3030","德律",11.16,234.96,659.21,556.80,"*****",2.24,162.94,2.11,172.98,1.42,0.54,6.91,7.94,22.49,13.85,1.82,103.56,113.40,-6.85
"3031","佰鴻",21.96,368.69,319.07,268.00,61.19,2.74,133.21,5.59,65.29,2.41,0.58,4.13,5.26,9.72,7.04,0.93,24.99,"NA",2.73
"3032","偉訓",53.17,526.50,226.46,188.92,48.61,3.70,98.64,6.30,57.93,8.72,1.12,8.72,17.31,49.89,7.63,3.81,29.09,138.49,8.33
"3033","威健",73.65,3422.63,138.28,79.54,3.69,6.01,60.73,5.69,64.14,274.38,2.19,2.96,7.79,14.59,0.89,1.33,-16.51,-56.04,-46.26
"3034","聯詠",32.69,1416.96,268.55,231.61,274.77,3.95,92.40,5.88,62.07,22.57,1.10,12.15,17.72,95.07,10.96,8.22,53.53,114.22,5.26
"3035","智原",22.64,912.03,300.87,240.78,"NA",7.01,52.06,5.09,71.70,11.35,0.97,4.24,5.64,13.16,4.37,1.14,15.89,82.23,-6.05
"3036","文曄",72.47,3928.30,133.59,81.43,8.00,5.38,67.84,7.09,51.48,288.70,2.66,3.58,10.05,43.22,1.18,3.61,"NA","NA","NA"
"3037","欣興",52.12,149.15,150.73,127.29,231.57,4.60,79.34,8.51,42.89,1.34,0.63,0.67,0.54,4.52,0.41,0.01,31.26,94.89,7.48
"3038","全台",40.92,464.49,208.28,149.59,1936.29,7.19,50.76,2.90,125.86,6.38,0.88,5.48,9.04,11.08,5.91,1.03,30.35,483.50,6.31
"3040","遠見",8.07,44420.47,1207.12,1168.57,668.37,12.93,28.22,7.27,50.20,21.50,0.13,9.00,9.81,28.81,69.96,2.44,68.93,74.92,-9.09
"3041","揚智",15.32,762.89,539.35,472.42,-52212.75,13.42,27.19,3.62,100.82,5.16,0.55,-9.31,-11.05,-20.69,-16.92,-1.95,-14.19,45.54,-2.45
"3042","晶技",32.83,273.17,279.40,227.49,4348.71,3.18,114.77,4.64,78.66,2.18,0.63,6.82,9.79,38.49,10.52,3.28,78.70,123.42,10.87
"3044","健鼎",53.29,268.47,154.78,137.96,30.27,3.47,105.18,7.08,51.55,3.47,0.69,5.88,12.04,85.17,8.21,6.80,26.32,132.19,10.17
"3045","台灣大",56.28,253.36,89.87,77.88,2949.77,5.55,65.76,11.08,32.94,2.60,0.76,10.72,25.54,56.10,13.66,5.63,83.45,99.82,8.79
"3046","建碁",64.21,3015.11,119.78,85.14,-42.39,5.88,62.07,3.83,95.30,26.90,0.69,-21.88,-51.55,-21.71,-32.04,-3.15,-36.16,0.00,0.00
"3047","訊舟",60.35,177.40,177.32,98.32,452.93,4.71,77.49,2.73,133.69,3.57,0.96,2.09,3.45,5.77,1.66,0.45,6.50,50.82,0.45
"3048","益登",79.64,889.43,128.02,56.96,183.13,17.69,20.63,8.84,41.28,160.22,5.35,3.75,7.35,13.17,0.31,1.07,-4.87,-34.49,-18.28
"3049","和鑫",60.78,120.90,61.59,58.62,-2.52,7.23,50.48,12.36,29.53,0.27,0.16,-2.26,-6.74,-6.70,-18.05,-0.67,22.29,58.92,4.88
"3050","鈺德",23.62,250.67,187.23,178.06,11.76,5.41,67.46,13.69,26.66,0.97,0.32,3.15,3.88,6.40,9.21,0.57,26.07,333.04,0.31
"3051","力特",82.81,283.49,124.77,95.91,0.13,2.65,137.73,1.94,188.14,0.95,0.25,-1.42,-14.63,-3.91,-10.31,-0.84,35.61,1599.41,8.28
"3052","夆典",67.34,1796.15,153.69,109.27,161.44,10.90,33.48,2.50,146.00,14.91,0.32,0.95,1.75,1.77,1.83,0.22,-8.93,-3.63,-17.75
"3054","立萬利",12.83,2645.51,459.86,373.97,832.93,5.58,65.41,1.29,282.94,4.29,0.19,4.13,4.82,5.29,19.44,0.59,51.64,65.62,9.85
"3055","蔚華科",35.07,367.04,246.95,224.26,289.37,6.06,60.23,13.91,26.24,4.45,0.83,3.29,4.86,21.86,3.94,1.16,21.27,210.79,4.59
"3056","總太",42.67,3074.32,216.17,53.56,25490.06,1197.22,0.30,0.47,776.59,31.20,0.48,10.53,21.71,43.77,21.79,4.34,57.02,40.82,30.37
"3057","喬鼎",31.16,436.67,227.88,145.48,0.00,5.76,63.36,2.86,127.62,5.84,0.91,-11.06,-15.67,-19.19,-12.25,-2.03,10.63,167.32,1.67
"3058","立德",49.16,179.43,133.44,95.70,13.24,3.63,100.55,5.87,62.18,3.15,1.01,2.07,3.62,6.56,1.90,0.58,0.26,63.21,-1.97
"3059","華晶科",40.68,206.39,179.05,149.10,8.39,4.57,79.86,6.88,53.05,2.35,0.76,0.80,1.07,6.96,0.86,0.20,0.00,0.00,0.00
"3060","銘異",40.60,364.30,209.51,165.61,52.20,4.98,73.29,6.63,55.05,5.72,1.04,2.73,4.26,20.90,2.56,1.23,35.10,91.73,3.55
"3062","建漢",33.49,697.52,220.86,179.64,351.79,6.30,57.93,7.55,48.34,11.70,1.18,3.88,5.82,12.38,3.27,1.02,-35.39,34.13,-20.87
"3090","日電貿",57.98,386.52,158.33,114.79,18.84,3.23,113.00,4.59,79.52,11.18,1.26,6.16,13.30,28.47,4.60,2.35,12.76,75.03,4.75
"3094","聯傑",6.07,955.57,1783.13,1728.43,1410.19,5.44,67.09,1.85,197.29,2.39,0.24,5.38,5.74,9.82,22.68,0.86,151.10,118.49,-1.11
"3130","一零四",31.84,717.91,281.07,280.10,0.00,35.73,10.21,0.00,"*****",7.32,0.62,17.00,26.48,113.30,27.38,12.04,54.12,147.21,6.89
"3149","正達",79.44,80.80,72.19,63.44,-1.43,2.83,128.97,12.29,29.69,0.43,0.27,-3.29,-31.60,-27.44,-18.20,-2.66,12.21,19.77,5.43
"3164","景岳",8.84,149.01,404.69,232.47,"NA",6.81,53.59,3.47,105.18,9999999.99,0.61,0.35,-15.53,-24.68,-43.62,-2.65,40.38,25.75,2.46
"3167","大量",57.94,477.85,182.15,134.37,13.85,1.45,251.72,1.80,202.77,4.74,0.59,5.92,11.75,30.03,9.10,2.21,2.72,70.66,-3.47
"3189","景碩",24.82,173.19,250.19,222.49,37.03,6.14,59.44,6.45,56.58,1.23,0.55,5.08,6.70,57.61,8.95,5.01,66.58,113.68,8.73
"3209","全科",80.13,778.84,122.21,64.34,4.02,6.92,52.74,7.99,45.68,87.90,3.05,3.74,11.91,22.75,0.92,1.80,-22.66,-41.85,-83.24
"3229","晟鈦",33.59,285.45,225.42,205.78,-29.79,2.11,172.98,13.29,27.46,1.33,0.34,-10.74,-18.19,-17.81,-32.44,-1.75,26.74,28.84,9.28
"3231","緯創",75.96,234.04,114.28,80.06,3.40,7.28,50.13,9.46,38.58,17.81,2.30,1.56,4.36,17.95,0.45,1.20,22.97,95.57,34.80
"3257","虹冠電",9.77,506.79,773.05,637.58,592.89,3.17,115.14,2.11,172.98,2.74,0.49,7.10,7.88,20.90,14.60,1.90,85.31,95.25,6.02
"3266","昇陽",39.26,2224.49,249.41,40.45,0.08,4.48,81.47,0.20,1825.00,4.90,0.15,-0.07,0.81,-1.28,-3.36,0.12,3.65,-7.50,1.97
"3296","勝德",31.47,725.42,286.93,232.78,48358.00,3.87,94.31,7.31,49.93,9.71,1.11,5.00,7.18,14.05,4.49,1.22,30.90,200.42,9.11
"3305","昇貿",38.50,312.12,275.32,187.63,16.84,2.75,132.72,3.34,109.28,3.56,0.74,4.11,6.29,30.84,5.16,2.11,-22.85,0.97,-9.12
"3311","閎暉",37.83,523.87,352.39,339.01,-4.73,5.04,72.42,14.39,25.36,2.31,0.35,-1.42,-2.80,-6.93,-4.89,-0.61,1.15,72.91,-1.21
"3312","弘憶股",54.18,22151.16,181.09,153.51,6.72,4.01,91.02,12.67,28.80,1325.30,2.59,1.83,4.24,7.25,0.67,0.48,12.45,-14.24,14.84
"3338","泰碩",57.31,370.04,154.72,123.44,54.42,3.37,108.30,7.01,52.06,7.54,1.16,7.67,17.10,31.38,6.50,2.71,18.71,132.46,8.59
"3346","麗清",61.31,845.00,148.63,102.09,970.31,2.59,140.92,3.50,104.28,24.10,1.18,7.66,18.02,36.36,5.83,3.45,-15.50,-31.49,-24.97
"3356","奇偶",41.55,1184.66,219.90,156.55,43.22,9.28,39.33,1.37,266.42,12.73,0.62,4.74,6.69,21.28,6.57,1.80,8.18,65.22,-11.78
"3376","新日興",27.01,178.47,219.10,195.92,5253.69,2.39,152.71,6.70,54.47,1.60,0.49,6.75,9.33,83.12,13.52,6.13,32.05,101.33,4.36
"3380","明泰",40.26,380.01,214.89,155.80,9417.86,5.78,63.14,5.39,67.71,8.30,1.52,4.30,7.18,18.49,2.78,1.40,43.35,163.73,17.29
"3383","新世紀",64.54,119.03,102.30,27.10,0.00,2.09,174.64,1.52,240.13,0.29,0.18,-29.51,-69.71,-68.05,-167.51,-6.84,8.49,64.13,1.40
"2501","國建",57.46,3774.82,275.12,36.83,7.51,91.32,3.99,0.44,829.54,16.25,0.32,5.15,11.44,28.74,15.18,2.06,49.82,45.40,21.74
"2504","國產",64.45,101.15,51.47,44.20,-1424.53,3.78,96.56,22.22,16.42,0.97,0.44,-15.40,-39.98,-61.84,-36.20,-3.27,-16.60,13.36,-17.65
"2505","國揚",54.12,3127.02,162.85,20.81,2.37,13.39,27.25,0.09,4055.55,6.36,0.09,0.16,0.09,0.54,0.43,0.01,0.00,51.02,0.00
"2506","太設",50.31,476.81,149.62,32.73,2.98,14.04,25.99,0.17,2147.05,1.18,0.15,1.94,2.30,7.40,7.37,0.33,9.53,113.80,4.51
"2509","全坤建",54.12,1788.08,174.49,33.76,0.91,7.90,46.20,0.08,4562.50,2.92,0.08,-0.01,-1.35,-0.37,-8.70,-0.37,-2.71,-231.84,-10.51
"2511","太子",51.97,585.58,242.42,57.29,5.04,7.15,51.04,0.36,1013.88,1.81,0.22,3.40,6.51,11.73,13.26,0.99,12.14,1.03,-0.76
"2514","龍邦",37.36,"NA",370.73,345.85,5.53,"NA","NA","NA","NA","NA","NA",3.48,4.70,7.95,52.84,0.72,"NA","NA","NA"
"2515","中工",49.48,689.43,201.34,146.27,3.44,2.93,124.57,1.14,320.17,2.69,0.24,0.84,1.37,2.61,2.86,0.17,0.22,41.33,-1.11
"2516","新建",72.54,495.85,106.72,97.90,142.95,2.25,162.22,13.94,26.18,7.35,0.60,0.65,0.64,-7.00,0.30,0.09,-5.39,63.07,-27.84
"2520","冠德",69.25,269.26,154.76,32.07,5.13,8.12,44.95,0.32,1140.62,1.52,0.28,2.38,6.19,19.38,6.95,1.49,5.35,96.76,2.97
"2524","京城",64.65,1429.35,181.92,1.86,2.33,136.63,2.67,0.05,7300.00,3.64,0.08,2.22,5.22,16.56,21.81,1.49,"*****","*****","*****"
"2527","宏璟",60.71,1490.24,192.46,5.92,8.93,4.97,73.44,0.04,"NA",0.94,0.04,0.35,0.63,3.72,6.53,0.24,-48.54,-192.92,-23.39
"2528","皇普",29.88,907817.73,201.77,61.20,-1.55,15.52,23.51,0.13,2807.69,400.71,0.07,-0.66,-1.51,-1.57,-15.26,-0.16,"NA","NA","NA"
"2530","華建",39.07,5608.87,254.57,45.53,16.72,46.28,7.88,0.28,1303.57,36.50,0.34,6.41,11.74,17.56,17.65,1.57,0.00,2.11,-11.27
"2534","宏盛",67.89,405546.40,158.92,9.50,6.27,60.72,6.01,0.07,5214.28,795.88,0.11,3.58,9.32,16.72,26.69,1.46,-10.53,-68.16,12.28
"2535","達欣工",66.68,1346.80,148.02,87.48,10.45,3.07,118.89,0.22,1659.09,27.23,0.82,4.66,13.20,34.41,5.17,3.12,0.00,10.95,-3.32
"2536","宏普",32.82,14651.59,293.12,12.27,72.99,67.53,5.40,0.21,1738.09,60.88,0.25,5.76,9.28,30.54,22.30,3.21,-7.28,101.07,-10.97
"2537","聯上發",35.74,322580.15,416.81,58.88,69.35,48.36,7.54,0.14,2607.14,873.58,0.21,5.51,8.73,12.48,26.44,1.25,0.00,47.17,0.00
